#;Código DIVIPOLA;DEPARTMENT;Municipality;TOTAL;Urban Area ;Rural Area
1;5001;Antioquia;Medellín;2427129;2382399;44730
2;5002;Antioquia;Abejorral;20367;7674;12693
3;5004;Antioquia;Abriaquí;2695;824;1871
4;5021;Antioquia;Alejandría;4657;2485;2172
5;5030;Antioquia;Amagá;30227;14184;16043
6;5031;Antioquia;Amalfi;25962;14508;11454
7;5034;Antioquia;Andes;43269;20250;23019
8;5036;Antioquia;Angelópolis;5756;2168;3588
9;5038;Antioquia;Angostura;11437;2628;8809
10;5040;Antioquia;Anorí;18321;7634;10687
11;5042;Antioquia;Santafé de Antioquia;26164;16351;9813
12;5044;Antioquia;Anza;7010;1258;5752
13;5045;Antioquia;Apartadó;121003;98454;22549
14;5051;Antioquia;Arboletes;29295;9747;19548
15;5055;Antioquia;Argelia;7689;3412;4277
16;5059;Antioquia;Armenia;5139;1716;3423
17;5079;Antioquia;Barbosa;51969;22174;29795
18;5086;Antioquia;Belmira;6000;1623;4377
19;5088;Antioquia;Bello;522264;495483;26781
20;5091;Antioquia;Betania;10323;3601;6722
21;5093;Antioquia;Betulia;15607;4274;11333
22;5101;Antioquia;Ciudad Bolívar;26118;15604;10514
23;5107;Antioquia;Briceño;8039;2552;5487
24;5113;Antioquia;Buriticá;9354;2235;7119
25;5120;Antioquia;Cáceres;28996;5355;23641
26;5125;Antioquia;Caicedo;8297;1657;6640
27;5129;Antioquia;Caldas;79638;62987;16651
28;5134;Antioquia;Campamento;9203;2466;6737
29;5138;Antioquia;Cañasgordas;15523;5076;10447
30;5142;Antioquia;Caracolí;4582;2739;1843
31;5145;Antioquia;Caramanta;4743;2190;2553
32;5147;Antioquia;Carepa;47932;33009;14923
33;5148;Antioquia;El Carmen de Viboral;59416;34187;25229
34;5150;Antioquia;Carolina;3954;2929;1025
35;5154;Antioquia;Caucasia;90213;76772;13441
36;5172;Antioquia;Chigorodó;57375;47046;10329
37;5190;Antioquia;Cisneros;9775;8415;1360
38;5197;Antioquia;Cocorná;15444;6293;9151
39;5206;Antioquia;Concepción;4797;1908;2889
40;5209;Antioquia;Concordia;21377;7349;14028
41;5212;Antioquia;Copacabana;77884;62343;15541
42;5234;Antioquia;Dabeiba;23044;9042;14002
43;5237;Antioquia;Don Matías;18902;12081;6821
