Code Department;Code Municipality;Department;Municipality;Longitude;Latitude;TOTAL;Urban Area;Rural Area;;
05;05001;Antioquia;Medellín;-75.58171333;6.246715564;2427129;2382399;44730;;
05;05002;Antioquia;Abejorral;-75.4287381;5.789304485;20367;7674;12693;;
05;05004;Antioquia;Abriaquí;-76.06470346;6.631806452;2695;824;1871;;
05;05021;Antioquia;Alejandría;-75.1413329;6.376065676;4657;2485;2172;;
05;05030;Antioquia;Amagá;-75.70194607;6.038808575;30227;14184;16043;;
05;05031;Antioquia;Amalfi;-75.08252428;6.912304726;25962;14508;11454;;
05;05034;Antioquia;Andes;-75.87879189;5.656774852;43269;20250;23019;;
05;05036;Antioquia;Angelópolis;-75.71135114;6.109614368;5756;2168;3588;;
05;05038;Antioquia;Angostura;-75.33511597;6.885174591;11437;2628;8809;;
05;05040;Antioquia;Anorí;-75.14834842;7.074707669;18321;7634;10687;;
05;05042;Antioquia;Santafé de Antioquia;-75.82707907;6.556533296;26164;16351;9813;;
05;05044;Antioquia;Anza;-75.85444158;6.302658359;7010;1258;5752;;
05;05045;Antioquia;Apartadó;-76.62596065;7.883417406;121003;98454;22549;;
05;05051;Antioquia;Arboletes;-76.4270568;8.850567734;29295;9747;19548;;
05;05055;Antioquia;Argelia;-75.14174146;5.730671879;7689;3412;4277;;
05;05059;Antioquia;Armenia;-75.78683783;6.155818729;5139;1716;3423;;
05;05079;Antioquia;Barbosa;-75.33164423;6.439226882;51969;22174;29795;;
05;05086;Antioquia;Belmira;-75.66737413;6.606159502;6000;1623;4377;;
05;05088;Antioquia;Bello;-75.55466507;6.334068836;522264;495483;26781;;
05;05091;Antioquia;Betania;-75.97554408;5.74474718;10323;3601;6722;;
05;05093;Antioquia;Betulia;-75.98451587;6.115255594;15607;4274;11333;;
05;05101;Antioquia;Ciudad Bolívar;-76.02150921;5.850273232;26118;15604;10514;;
05;05107;Antioquia;Briceño;-75.54813022;7.114882947;8039;2552;5487;;
05;05113;Antioquia;Buriticá;-75.90753473;6.719735175;9354;2235;7119;;
05;05120;Antioquia;Cáceres;-75.35235749;7.578315451;28996;5355;23641;;
05;05125;Antioquia;Caicedo;-75.98281889;6.405567003;8297;1657;6640;;
05;05129;Antioquia;Caldas;-75.63361872;6.091296966;79638;62987;16651;;
05;05134;Antioquia;Campamento;-75.29808843;6.979777682;9203;2466;6737;;
05;05138;Antioquia;Cañasgordas;-76.03220994;6.759477684;15523;5076;10447;;
05;05142;Antioquia;Caracolí;-74.75744944;6.409854727;4582;2739;1843;;
05;05145;Antioquia;Caramanta;-75.64386845;5.548530404;4743;2190;2553;;
05;05147;Antioquia;Carepa;-76.65321034;7.755116346;47932;33009;14923;;
05;05148;Antioquia;El Carmen de Viboral;-75.33536246;6.084551516;59416;34187;25229;;
05;05150;Antioquia;Carolina;-75.28317011;6.725977146;3954;2929;1025;;
05;05154;Antioquia;Caucasia;-75.19829033;7.977362333;90213;76772;13441;;
05;05172;Antioquia;Chigorodó;-76.6812164;7.666300439;57375;47046;10329;;
05;05190;Antioquia;Cisneros;-75.08720761;6.537761957;9775;8415;1360;;
05;05197;Antioquia;Cocorná;-75.18548101;6.058306335;15444;6293;9151;;
05;05206;Antioquia;Concepción;-75.2576027;6.394347095;4797;1908;2889;;
05;05209;Antioquia;Concordia;-75.90750472;6.046568573;21377;7349;14028;;
05;05212;Antioquia;Copacabana;-75.5093439;6.348640545;77884;62343;15541;;
05;05234;Antioquia;Dabeiba;-76.26297665;7.00032194;23044;9042;14002;;
05;05237;Antioquia;Don Matías;-75.39272406;6.484469957;18902;12081;6821;;
05;05240;Antioquia;Ebéjico;-75.76622047;6.326056658;12158;2229;9929;;
05;05250;Antioquia;El Bagre;-74.79909729;7.597521794;51862;32823;19039;;
05;05264;Antioquia;Entrerrios;-75.5178008;6.566481448;11159;5643;5516;;
05;05266;Antioquia;Envigado;-75.58301014;6.167004552;228848;215766;13082;;
05;05282;Antioquia;Fredonia;-75.6705064;5.924368006;24408;8031;16377;;
05;05284;Antioquia;Frontino;-76.13076514;6.776065912;20739;8639;12100;;
05;05306;Antioquia;Giraldo;-75.95215756;6.680808016;5544;2061;3483;;
05;05308;Antioquia;Girardota;-75.44446221;6.379613834;51662;28652;23010;;
05;05310;Antioquia;Gómez Plata;-75.2200382;6.683287586;9753;5017;4736;;
05;05313;Antioquia;Granada;-75.18444508;6.142896667;10117;5541;4576;;
05;05315;Antioquia;Guadalupe;-75.24001859;6.814263455;6560;2223;4337;;
05;05318;Antioquia;Guarne;-75.44165392;6.278064077;55121;18342;36779;;
05;05321;Antioquia;Guatapé;-75.16229259;6.232592707;8363;5420;2943;;
05;05347;Antioquia;Heliconia;-75.73432238;6.206757461;5451;2318;3133;;
05;05353;Antioquia;Hispania;-75.90658827;5.799461575;5469;3416;2053;;
05;05360;Antioquia;Itagui;-75.61435871;6.169597629;276744;247918;28826;;
05;05361;Antioquia;Ituango;-75.76467317;7.17162903;27074;7074;20000;;
05;05364;Antioquia;Jardín;-75.81898092;5.597541741;14518;7659;6859;;
05;05368;Antioquia;Jericó;-75.78549855;5.789747931;13640;7619;6021;;
05;05376;Antioquia;La Ceja;-75.42943089;6.028055744;64889;54820;10069;;
05;05380;Antioquia;La Estrella;-75.64519038;6.15841974;71545;60997;10548;;
05;05390;Antioquia;La Pintada;-75.60781026;5.743807479;8114;7060;1054;;
05;05400;Antioquia;La Unión;-75.3608659;5.973868218;21475;12724;8751;;
05;05411;Antioquia;Liborina;-75.81283227;6.677323053;10028;2296;7732;;
05;05425;Antioquia;Maceo;-74.78716148;6.552116913;8221;3093;5128;;
05;05440;Antioquia;Marinilla;-75.33947788;6.172269255;64645;44230;20415;;
05;05467;Antioquia;Montebello;-75.52351091;5.946325567;6680;1866;4814;;
05;05475;Antioquia;Murindó;-76.81745806;6.977691853;4911;1760;3151;;
05;05480;Antioquia;Mutatá;-76.4358754;7.242875057;13991;5091;8900;;
05;05483;Antioquia;Nariño;-75.17626132;5.610774585;10153;3116;7037;;
05;05490;Antioquia;Necoclí;-76.7845745;8.426135983;42281;10955;31326;;
05;05495;Antioquia;Nechí;-74.77647012;8.094128661;25790;13174;12616;;
05;05501;Antioquia;Olaya;-75.81229873;6.627525738;3127;217;2910;;
05;05541;Antioquia;Peñol;-75.24282171;6.219450549;21049;11022;10027;;
05;05543;Antioquia;Peque;-75.91034556;7.021017918;8097;2296;5801;;
05;05576;Antioquia;Pueblorrico;-75.84077355;5.791786032;8664;4450;4214;;
05;05579;Antioquia;Puerto Berrío;-74.40994553;6.48704114;39314;32623;6691;;
05;05585;Antioquia;Puerto Nare;-74.58301201;6.186024828;14380;4381;9999;;
05;05591;Antioquia;Puerto Triunfo;-74.64126293;5.871212959;18055;2926;15129;;
05;05604;Antioquia;Remedios;-74.69594426;7.026094053;28415;11632;16783;;
05;05607;Antioquia;Retiro;-75.50137516;6.063379954;23514;12479;11035;;
05;05615;Antioquia;Rionegro;-75.37676938;6.14722409;135465;83007;52458;;
05;05628;Antioquia;Sabanalarga;-75.81664609;6.85002589;9032;2955;6077;;
05;05631;Antioquia;Sabaneta;-75.61558529;6.150970181;82375;70401;11974;;
05;05642;Antioquia;Salgar;-75.98204854;5.96564031;18258;6718;11540;;
05;05647;Antioquia;San Andrés de Cuerquía;-75.67473253;6.916808512;7235;2848;4387;;
05;05649;Antioquia;San Carlos;-74.98795256;6.187991569;16247;7362;8885;;
05;05652;Antioquia;San Francisco;-75.10268697;5.964079131;5648;2486;3162;;
05;05656;Antioquia;San Jerónimo;-75.72700058;6.448066608;15361;6704;8657;;
05;05658;Antioquia;San José de La Montaña;-75.68335163;6.850090299;3646;2353;1293;;
05;05659;Antioquia;San Juan de Urabá;-76.52879434;8.759341801;20093;6624;13469;;
05;05660;Antioquia;San Luis;-74.993641;6.042983285;12995;7408;5587;;
05;05664;Antioquia;San Pedro;-75.55671915;6.460138599;21949;11756;10193;;
05;05665;Antioquia;San Pedro de Uraba;-76.38057789;8.276886664;30932;12494;18438;;
05;05667;Antioquia;San Rafael;-75.02798382;6.293754876;15698;7891;7807;;
05;05670;Antioquia;San Roque;-75.01915757;6.485948936;21519;6481;15038;;
05;05674;Antioquia;San Vicente;-75.33261381;6.282155852;22093;5464;16629;;
05;05679;Antioquia;Santa Bárbara;-75.56735178;5.875533398;26784;12083;14701;;
05;05686;Antioquia;Santa Rosa de Osos;-75.46074502;6.643326001;36318;19896;16422;;
05;05690;Antioquia;Santo Domingo;-75.16778371;6.474843293;12394;2808;9586;;
05;05697;Antioquia;El Santuario;-75.26584979;6.137046858;35422;24614;10808;;
05;05736;Antioquia;Segovia;-74.70159107;7.079639679;37900;30133;7767;;
05;05756;Antioquia;Sonson;-75.30939515;5.714811641;36321;17169;19152;;
05;05761;Antioquia;Sopetrán;-75.74725636;6.500985773;15053;6522;8531;;
05;05789;Antioquia;Támesis;-75.71432069;5.664466636;16281;7256;9025;;
05;05790;Antioquia;Tarazá;-75.40140596;7.580120815;26964;12657;14307;;
05;05792;Antioquia;Tarso;-75.82321448;5.863295751;6184;3324;2860;;
05;05809;Antioquia;Titiribí;-75.79154901;6.060980082;10775;4591;6184;;
05;05819;Antioquia;Toledo;-75.69144241;7.010154029;4993;1700;3293;;
05;05837;Antioquia;Turbo;-76.72915844;8.089116411;124552;48787;75765;;
05;05842;Antioquia;Uramita;-76.17340916;6.898494111;6888;2111;4777;;
05;05847;Antioquia;Urrao;-76.13394867;6.317319591;30127;15918;14209;;
05;05854;Antioquia;Valdivia;-75.43919844;7.16534;13801;3637;10164;;
05;05856;Antioquia;Valparaíso;-75.62445889;5.614550725;6498;3639;2859;;
05;05858;Antioquia;Vegachí;-74.79872695;6.77344632;11810;8055;3755;;
05;05861;Antioquia;Venecia;-75.73550324;5.964733583;11602;5089;6513;;
05;05873;Antioquia;Vigía del Fuerte;-76.89618698;6.588119845;9093;3102;5991;;
05;05885;Antioquia;Yalí;-74.84004673;6.676567272;7608;3587;4021;;
05;05887;Antioquia;Yarumal;-75.41883314;6.963872352;41542;29049;12493;;
05;05890;Antioquia;Yolombó;-75.01335058;6.594592434;22538;6768;15770;;
05;05893;Antioquia;Yondó;-73.91245795;7.003940734;19040;9640;9400;;
05;05895;Antioquia;Zaragoza;-74.86707471;7.488583075;24651;11173;13478;;
08;08001;Atlántico;Barranquilla;-74.79525905;10.97592682;1206319;1205284;1035;;
08;08078;Atlántico;Baranoa;-74.91609981;10.79488048;62382;51730;10652;;
08;08137;Atlántico;Campo de La Cruz;-74.88315173;10.37924013;22879;19961;2918;;
08;08141;Atlántico;Candelaria;-74.8799126;10.46121723;15982;11461;4521;;
08;08296;Atlántico;Galapa;-74.8669381;10.919641;60708;56167;4541;;
